name,sales,retail_price,average_sale_price,highest_price,lowest_price,release_date,condition
Jordan 1 Mid Paint Stroke (GS), 818, 90, 110, 180, 45, 02/01/2019, New
Jordan 11 Retro Low Barons, 811, 175, 243, 400, 103, 05/27/2017, New
Jordan 5 Retro P51 Camo, 800, 190, 147, 200, 66, 09/02/2017, New
Jordan 1 Retro High Flyknit Royal, 778, 180, 92, 195, 54, 10/07/2017, New
Jordan 13 Retro Phantom (W), 772, 190, 153, 277, 80, 07/27/2018, New
Jordan 1 Retro High Flyknit Bred, 755, 180, 135, 240, 80, 09/09/2017, New
Jordan 6 Retro Sport Blue (2014), 701, 170, 193, 280, 120, 08/30/2014, New
Jordan 12 Retro Bordeaux, 658, 190, 179, 299, 100, 10/28/2017, New
Jordan 11 Retro Space Jam 2016 (GS), 627, 170, 214, 290, 112, 12/10/2016, New
Jordan 1 Mid Black Dark Concord, 600, 110, 98, 191, 60, 12/01/2018, New
Jordan 14 Retro Ferrari, 579, 200, 346, 575, 210, 09/06/2014, New
Jordan 13 Retro Wheat, 564, 190, 147, 228, 80, 11/21/2017, New
Jordan 4 Retro White Cement (2012), 514, 160, 260, 513, 140, 02/18/2012, New
Jordan 6 Retro Olympic London (2012), 353, 160, 236, 350, 130, 07/07/2012, New
Jordan 12 Retro Nylon, 349, 190, 211, 300, 126, 09/10/2016, New
Jordan 14 Retro Last Shot 2018 (GS), 349, 140, 103, 157, 56, 06/14/2018, New
Jordan 1 Retro High Pale Ivory (W), 279, 145, 215, 500, 150, 05/01/2019, New
Jordan XXXIII Vast Grey, 279, 175, 146, 752, 101, 03/07/2019, New
Jordan 10 Retro Lady of Liberty, 259, 190, 126, 190, 81, 02/15/2015, New
Jordan ADG White Cement, 235, 135, 171, 260, 125, 04/15/2019, New
Jordan 1 Mid White Cement, 211, 110, 92, 160, 57, 06/18/2018, New
Jordan 1 Mid Black Particle Grey Gym Red, 185, 110, 100, 199, 60, 03/15/2019, New
Jordan 5 Retro Fire Red (2006), 144, 160, 192, 285, 86, 12/16/2006, New
Jordan Spizike White Cement (2017), 112, 175, 139, 201, 65, 06/24/2017, New
Jordan 1 Mid Top 3 (TD), 63, 50, 46, 75, 30, 01/01/2019, New
Jordan 6 Retro Tinker, 3551, 190, 152, 279, 71, 10/06/2018, New
Jordan 4 Retro Silt Red Splatter (W), 2740, 190, 223, 390, 50, 02/22/2019, New
Jordan 1 Mid Bred Multi-Color (GS), 2860, 90, 112, 190, 71, 01/16/2019, New
Jordan 3 Retro Pure White (2018), 2259, 190, 161, 311, 105, 07/21/2018, New
Jordan 8 Retro Tinker Air Raid, 1898, 190, 158, 250, 86, 12/22/2018, New
Jordan 1 Retro High City of Flight, 1267, 160, 114, 250, 48, 01/10/2018, New
Jordan 12 Retro French Blue (2016), 1067, 190, 244, 339, 180, 04/02/2016, New
Jordan 8 Retro OVO White, 934, 225, 254, 401, 190, 02/16/2018, New
Jordan 5 Retro Red Suede, 911, 190, 195, 330, 133, 07/02/2017, New
Jordan 8 Retro OVO Black, 872, 225, 234, 350, 160, 02/16/2018, New
Jordan 6 Retro Chinese New Year (2018), 870, 250, 225, 400, 149, 01/13/2018, New
Jordan 1 Mid SE Deep Royal (GS), 873, 120, 130, 195, 81, 01/16/2019, New
Jordan 1 Mid Chicago, 836, 110, 132, 270, 45, 03/20/2018, New
Jordan 1 Retro High Wings, 712, 200, 196, 400, 113, 05/17/2017, New
Jordan 3 Retro True Blue 2016 (GS), 656, 160, 116, 200, 60, 11/25/2016, New
Jordan 1 Retro Bred 2016(GS), 614, 120, 309, 430, 219, 09/03/2016, New
Jordan Legacy 312 Lakers, 578, 150, 118, 300, 70, 11/01/2018, New
Jordan 5 Retro Metallic White (2015), 559, 190, 190, 300, 116, 04/04/2015, New
Jordan 18 Retro Yellow Ochre, 524, 225, 151, 395, 80, 09/15/2018, New
Jordan 3 Retro Cyber Monday (2016), 522, 190, 139, 299, 70, 10/15/2016, New
Jordan 5 Retro Fire Red (2013), 517, 160, 220, 385, 147, 01/26/2013, New
Jordan 3 Retro White Cement (2011), 451, 150, 286, 420, 165, 01/22/2011, New
Jordan 4 Retro Green Glow, 438, 160, 276, 415, 190, 08/17/2013, New
Jordan 3 Retro Powder Blue, 436, 170, 186, 289, 128, 01/18/2014, New
Jordan 5 Retro Satin Bred (GS), 404, 140, 100, 165, 50, 11/03/2018, New
Jordan 1 Retro High White Snake (W), 374, 145, 148, 900, 70, 07/01/2018, New
Jordan 1 Retro Black White (2014), 350, 140, 356, 751, 177, 11/08/2014, New
Jordan 88 Racer White Cement, 346, 100, 79, 150, 47, 09/01/2018, New
Jordan 1 Mid Multi-Color Swoosh Black, 343, 110, 80, 225, 42, 06/15/2018, New
Jordan 6 Retro History of Jordan (Spiz'ike), 256, 170, 188, 250, 106, 08/09/2014, New
Jordan 2 Retro Low Chicago (2016), 220, 160, 92, 204, 50, 05/21/2016, New
Jordan 11 Retro Low IE Cobalt (2015), 171, 170, 162, 250, 50, 08/01/2015, New
Jordan 4 Retro Flyknit Volt, 143, 220, 276, 450, 220, 06/14/2019, New
Jordan Spizike Mint Foam (GS), 32, 125, 47, 85, 37, 01/01/2017, New
Jordan 1 Cargo White Black, 30, 130, 125, 250, 85, , New
Jordan 1 Retro High Barely Volt (W), 9, 145, 180, 250, 150, 06/22/2019, New
Jordan 12 Retro International Flight, 4973, 200, 195, 347, 100, 09/08/2018, New
Jordan 1 Retro High Spider-Man Origin Story (PS), 1993, 70, 101, 250, 70, 12/14/2018, New
Jordan 8 Retro Tinker Air Raid, 1899, 190, 158, 250, 86, 12/22/2018, New
Jordan 10 Retro Light Smoke Grey, 1626, 190, 176, 300, 117, 07/28/2018, New
Jordan 15 Retro Doernbecher (2018), 1323, 190, 215, 425, 120, 12/14/2018, New
Jordan 1 Mid Top 3 (GS), 1235, 90, 103, 180, 75, 01/01/2019, New
Jordan 11 Retro Gamma Blue, 1121, 185, 364, 600, 270, 12/21/2013, New
Jordan 10 Retro Russell Westbrook Class of 2006, 1039, 190, 150, 239, 95, 06/30/2018, New
Jordan 6 Retro Tinker (GS), 897, 140, 129, 222, 70, 10/06/2018, New
Jordan 5 Retro Grape (2013), 876, 160, 210, 300, 145, 05/04/2013, New
Jordan 9 Retro OG (2016), 834, 190, 249, 400, 127, 12/03/2016, New
Jordan 4 Retro 30th Anniversary Laser, 831, 250, 228, 360, 141, 02/13/2015, New
Jordan 1 Retro High Noise Cancelling Pack Nigel Sylvester, 811, 110, 206, 400, 100, 11/30/2018, New
Jordan 11 Retro Win Like 96 (GS), 762, 170, 202, 320, 110, 12/09/2017, New
Jordan 13 Retro Olive, 716, 190, 125, 206, 80, 01/20/2018, New
Jordan 6 Retro Doernbecher 15th Anniversary, 715, 190, 939, 1500, 590, 02/23/2019, New
Jordan 12 Retro International Flight (GS), 691, 140, 118, 180, 70, 09/08/2018, New
Jordan 4 Retro Motorsports 2017 (GS), 660, 140, 140, 300, 62, 03/26/2017, New
Jordan 12 Retro Dark Grey, 580, 190, 212, 299, 115, 11/18/2017, New
Jordan 12 Retro Chinese New Year, 576, 250, 270, 380, 190, 01/28/2017, New
Jordan 12 Retro Vachetta Tan (W), 574, 190, 127, 210, 61, 03/23/2018, New
Jordan 2 Retro Black History Month (2019), 550, 190, 131, 295, 64, 02/02/2019, New
Jordan 9 Retro Boot Wheat, 540, 225, 162, 325, 87, 10/17/2018, New
Jordan 5 Retro Laney (2013), 529, 170, 188, 261, 110, 11/02/2013, New
Jordan Legacy 312 Desert Camo, 523, 160, 125, 250, 68, 01/01/2019, New
Jordan 10 Retro Bulls Over Broadway, 509, 190, 174, 300, 100, 02/14/2015, New
Jordan Apex Utility Flight Utility, 501, 200, 239, 412, 175, 02/14/2019, New
Jordan 18 Retro Racer Blue, 503, 225, 153, 250, 70, 09/15/2018, New
Jordan Legacy 312 Toro, 486, 160, 98, 200, 60, 09/29/2018, New
Jordan 1 Low White Gum Hyper Pink, 446, 90, 100, 235, 56, 04/01/2019, New
Jordan 1 Retro Metallic Navy (2016), 442, 160, 185, 345, 55, 06/04/2016, New
Jordan 11 Retro Low Infrared, 435, 150, 257, 380, 190, 06/14/2014, New
Jordan 1 Retro David Letterman, 435, 160, 119, 200, 50, 04/30/2016, New
Jordan 12 Retro Flu Game 2016 (GS), 430, 140, 147, 220, 73, 05/28/2016, New
Jordan 8 Retro Champagne, 394, 250, 253, 400, 180, 06/25/2016, New
Jordan Legacy 312 Rookie of the Year (GS), 380, 110, 75, 103, 55, 11/01/2018, New
Jordan 13 Retro Bred 2017 (GS), 369, 140, 114, 190, 50, 08/19/2017, New
Jordan 4 Retro Military Blue (2012), 370, 160, 240, 400, 105, 06/09/2012, New
Jordan 1 Retro Mid Black Dark Grey, 365, 110, 119, 235, 50, 12/01/2017, New
Jordan 1 Retro High Shadow 2018 (TD), 365, 50, 56, 100, 30, 04/13/2018, New
Jordan 6 Rings Gym Red, 323, 165, 115, 220, 80, 01/07/2019, New
Jordan 8 Retro Three Peat, 319, 190, 154, 230, 90, 10/24/2015, New
Jordan 13 Retro Dirty Bred, 313, 185, 186, 298, 110, 12/13/2014, New
Jordan 6 Retro Pinnacle Metallic Gold, 287, 250, 341, 480, 235, 10/22/2016, New
Jordan 13 Retro Low Bred, 273, 160, 156, 313, 91, 06/13/2015, New
Jordan 1 Mid Last Shot, 269, 110, 89, 200, 52, 06/01/2018, New
Jordan 7 Retro Olympic (2012), 255, 160, 263, 380, 130, 07/21/2012, New
Jordan 6 Retro History of Jordan (Spiz'ike), 256, 170, 188, 250, 106, 08/09/2014, New
Jordan 13 Retro Low Chutney, 250, 175, 119, 215, 70, 06/10/2017, New
Jordan 3 Retro Bordeaux (W), 250, 180, 111, 260, 50, 09/21/2018, New
Jordan 18 Retro White Sport Royal, 222, 225, 279, 449, 200, 01/22/2018, New
Jordan 6 Retro Cigar, 221, 250, 258, 397, 190, 06/14/2014, New
Jordan 1 Retro Barons, 215, 140, 313, 600, 160, 04/05/2014, New
Jordan 9 Retro Statue, 208, 190, 156, 240, 70, 08/22/2015, New
Jordan 1 Retro High Flyknit Derek Jeter RE2PECT, 207, 180, 147, 295, 75, 02/23/2018, New
Jordan Legacy 312 Olympic, 211, 150, 104, 200, 71, 02/01/2019, New
Jordan 6 Retro White Jade Black (GS), 182, 140, 119, 193, 56, 03/04/2017, New
Jordan 11 Retro Low IE Referee (2015), 169, 170, 167, 270, 100, 09/26/2015, New
Jordan Proto Max 720 Black University Red, 149, 200, 175, 269, 115, 04/01/2019, New
Jordan 1 Mid All Over Logos (GS), 139, 90, 94, 151, 73, 05/01/2019, New
Jordan 1 Mid Maybe I Destroyed The Game, 79, 120, 107, 175, 60, 03/20/2019, New
Jordan 1 Retro Mid White Gym Red Black, 76, 110, 120, 200, 53, 05/01/2016, New
Air Jordan 1 Mid Lakers, 52, 105, 193, 325, 60, 04/01/2013, New
Jordan 1 Mid Reverse Black Toe (W), 24, 110, 128, 250, 110, 06/01/2019, New
Jordan Hydro 7 Black White Gym Red, 15, 50, 31, 45, 25, 01/01/2018, New
Jordan 1 Retro High Court Purple (GS), 5637, 120, 315, 450, 181, 09/22/2018, New
Jordan 4 Retro Fire Red Singles Day 2018 (W), 1354, 190, 168, 289, 86, 11/11/2018, New
Jordan 10 Retro Tinker, 1287, 190, 141, 285, 80, 10/20/2018, New
Jordan 18 Retro Black Sport Royal, 1196, 225, 224, 429, 126, 10/11/2018, New
Jordan 12 Retro Gym Red, 943, 190, 222, 320, 162, 07/02/2016, New
Jordan 12 Retro Winter Black (GS), 894, 140, 162, 215, 75, 12/15/2018, New
Jordan Legacy 312 Command Force Volt, 823, 160, 139, 350, 41, 08/11/2018, New
Jordan 4 Retro Columbia (2015), 807, 190, 206, 295, 115, 01/10/2015, New
Jordan 1 Retro UNC, 777, 160, 327, 560, 181, 10/10/2015, New
Jordan 1 Retro High RE2PECT (Derek Jeter), 676, 160, 219, 435, 101, 11/18/2017, New
Jordan 11 Retro Low Cool Grey (GS), 662, 130, 158, 290, 60, 04/28/2018, New
Jordan 1 Retro High Rox Brown (W), 642, 160, 174, 300, 100, 12/12/2018, New
Jordan 9 Retro City of Flight, 623, 190, 158, 299, 85, 02/03/2018, New
Jordan 13 Retro Alternate History of Flight, 609, 190, 174, 250, 65, 07/22/2017, New
Jordan 1 Retro High Flyknit Shadow, 545, 180, 110, 205, 62, 01/13/2018, New
Jordan 11 Retro Low Georgetown, 546, 170, 231, 345, 160, 04/11/2015, New
Jordan 7 Retro Pantone, 541, 190, 128, 250, 70, 04/29/2017, New
Jordan 3 Retro Infrared 23, 508, 170, 218, 325, 156, 03/08/2014, New
Jordan 12 Retro Desert Sand (GS), 487, 140, 117, 300, 52, 11/17/2018, New
Jordan 4 Retro Fire Red (2012), 475, 160, 254, 525, 150, 08/04/2012, New
Jordan 7 Retro Marvin the Martian, 473, 190, 143, 229, 100, 08/15/2015, New
Jordan 12 Retro Grey University Blue, 467, 190, 201, 299, 140, 06/25/2016, New
Jordan 4 Retro Royalty (GS), 462, 140, 117, 250, 60, 02/04/2017, New
Jordan 18 Retro Campfire Orange, 471, 225, 143, 245, 80, 09/15/2018, New
Jordan 4 Retro Levi's Denim (Tag with Levi's Logo), 449, 225, 613, 1470, 450, 01/17/2018, New
Jordan 4 Retro Thunder (2012), 454, 160, 289, 500, 150, 12/22/2012, New
Jordan 8 Retro Black Cement, 451, 190, 170, 250, 120, 09/16/2017, New
Jordan XXXIII Blackout, 462, 175, 165, 300, 88, 11/29/2018, New
Jordan 9 Retro Kobe Bryant PE, 437, 190, 180, 260, 75, 11/19/2016, New
Jordan 18 Retro Toro, 433, 225, 223, 350, 121, 04/07/2018, New
Jordan 4 Retro Bred 2019 (TD), 419, 60, 67, 125, 40, 05/04/2019, New
Jordan 1 Retro White Perforated, 414, 160, 108, 294, 55, 02/04/2017, New
Jordan 8 Retro Bugs Bunny (2013), 413, 160, 195, 287, 85, 04/20/2013, New
Jordan 13 Retro Chris Paul Away, 410, 200, 168, 240, 107, 11/07/2015, New
Jordan 5 Retro Poison Green, 389, 190, 183, 300, 70, 06/06/2015, New
Jordan 3 Retro Fire Red (2013), 391, 160, 193, 249, 121, 08/03/2013, New
Jordan 11 Retro Low IE Volt, 369, 170, 137, 250, 60, 08/16/2018, New
Jordan 4 Retro Dunk From Above, 372, 190, 167, 234, 101, 03/19/2016, New
Jordan 8 Retro Playoffs (2013), 358, 160, 223, 320, 130, 06/29/2013, New
Jordan 7 Retro French Blue (2015), 348, 190, 168, 258, 75, 01/24/2015, New
Jordan 5 Retro Low Neymar, 316, 200, 250, 425, 135, 06/03/2016, New
Jordan 5 Retro Premium Wine, 312, 400, 227, 450, 120, 12/14/2017, New
Jordan 5 Retro Black Grape (2013), 313, 160, 260, 380, 170, 06/15/2013, New
Jordan 4 Retro Teal, 303, 190, 164, 280, 100, 03/14/2015, New
Jordan 12 Retro Wool, 301, 200, 190, 279, 101, 10/01/2016, New
Jordan 3 Retro Golf White Cement, 299, 200, 408, 950, 250, 02/10/2017, New
Jordan 7 Retro Raptors (2012), 297, 160, 264, 360, 147, 09/01/2012, New
Jordan 6 Retro Infrared 23 (Toro), 296, 170, 277, 367, 171, 02/15/2014, New
Jordan 6 Retro White Laser Fuchsia Green Abyss (GS), 296, 140, 112, 185, 71, 03/02/2019, New
Jordan 17 Retro Copper (2016), 263, 250, 166, 250, 105, 04/09/2016, New
Jordan 7 Retro Barcelona Days, 262, 190, 172, 249, 95, 04/25/2015, New
Jordan 13 Retro He Got Game (2013), 248, 170, 218, 445, 131, 03/16/2013, New
Jordan 13 Retro Barons Hologram, 243, 185, 215, 329, 120, 10/25/2014, New
Jordan 10 Retro Cool Grey, 231, 170, 151, 220, 60, 01/25/2014, New
Jordan 10 Retro Chicago Bulls (2012), 231, 160, 169, 280, 110, 01/21/2012, New
Jordan 11 Retro Pantone, 223, 250, 412, 600, 299, 12/23/2014, New
Jordan XXXIII Chinese New Year (2019), 217, 175, 180, 381, 100, 02/05/2019, New
Jordan 5 Retro Take Flight, 216, 400, 214, 330, 115, 02/11/2017, New
Jordan 12 Retro Low Wolf Grey, 207, 170, 168, 289, 103, 03/18/2017, New
Jordan 5 Retro Low Alternate 90, 190, 175, 176, 275, 100, 01/30/2016, New
Jordan 4 Retro Fire Red Mars Blackmon, 180, 115, 244, 355, 190, 07/22/2006, New
Jordan 1 Retro Carmine (2014), 170, 140, 249, 365, 160, 05/24/2014, New
Jordan 1 Retro High Gatorade Blue Lagoon (GS), 168, 150, 87, 278, 40, 12/26/2017, New
Jordan 1 Retro High Flyknit Black History Month (2018), 166, 180, 126, 250, 70, 02/01/2018, New
Jordan 1 Retro Chicago 2015 (GS), 164, 120, 558, 1000, 340, 05/30/2015, New
Jordan 2 Retro Dark Concord, 160, 150, 125, 200, 55, 05/10/2014, New
Jordan 12 Retro Cherry (2009), 144, 150, 389, 600, 235, 12/19/2009, New
Jordan 1.5 Retro Bred, 144, 150, 189, 319, 105, 11/21/2015, New
Jordan 11 Retro Low Barons (GS), 128, 130, 184, 275, 92, 05/27/2017, New
Jordan 1 Mid University Gold Black, 131, 110, 94, 180, 66, 04/01/2019, New
Jordan 11 Retro Playoffs (2001), 102, 125, 363, 500, 225, 12/22/2001, New
Jordan 11 Retro Low Snake Navy 2019 (TD), 99, 55, 61, 120, 39, 04/19/2019, New
Jordan 1 Retro High Flyknit Shadow (GS), 96, 140, 76, 125, 52, 01/13/2018, New
Jordan 6 Retro Golden Moments Pack (6/7), 91, 175, 238, 355, 165, 08/18/2012, New
Jordan 3 Retro White Cement (2003), 76, 100, 270, 450, 120, 04/19/2003, New
Jordan Countdown Pack 7/16, 68, 310, 366, 490, 220, 06/21/2008, New
Jordan Proto React Black White, 66, 150, 104, 210, 65, 03/08/2019, New
Jordan 23 Solefly Florida Marlins, 57, 275, 237, 346, 141, 10/22/2016, New
Jordan 1 Retro High Double Strap Black Sail, 49, 140, 83, 190, 53, 09/01/2018, New
Jordan 1 Retro High Double Strap Black Gym Red, 44, 140, 101, 200, 45, 01/07/2019, New
Jordan 1 Cargo Black White, 42, 130, 161, 200, 104, , New
Jordan 8 Retro Chrome 2015 (GS), 32, 140, 144, 225, 80, 12/19/2015, New
Jordan 10 Retro Steel (GS), 27, , 97, 165, 40, , New
Jordan 1.5 Retro Sand Dune, 22, 150, 115, 225, 60, 12/12/2015, New
Jordan 11 OG Playoffs (1995), 21, 125, 421, 750, 275, 01/01/1995, New
Jordan Jumpman Pro Black Gym Red University Blue, 12, 140, 106, 150, 56, 05/02/2019, New
Jordan 11 Retro Low IE Space Jam, 15, 170, 217, 300, 101, 07/13/2019, New
Jordan 1 Retro High Pine Green (GS), 2626, 120, 271, 400, 200, 09/22/2018, New
Jordan 9 Retro Dream It Do It (GS), 1724, 140, 161, 260, 70, 03/09/2019, New
Jordan 1 Mid Team Orange Black (GS), 1487, 100, 167, 319, 101, 12/18/2018, New
Jordan Legacy 312 Ghost Green, 1299, 160, 170, 800, 40, 07/14/2018, New
Jordan 1 Rebel XX Chicago (W), 1272, 145, 174, 345, 83, 05/19/2018, New
Jordan 12 Retro Chris Paul Class Of 2003, 1254, 190, 182, 310, 100, 08/11/2018, New
Jordan 4 Retro Levi's Black (Blank Tag), 984, , 284, 599, 215, 06/30/2018, New
Jordan 3 Retro AWOK Vogue Black (W), 999, 220, 162, 316, 65, 09/07/2018, New
Jordan 4 Retro Motorsports Alternate, 917, 190, 185, 360, 100, 06/17/2017, New
Jordan 13 Retro Low Clot Black Red, 906, 200, 321, 640, 200, 12/22/2018, New
Jordan 9 Retro Boot Black Concord, 906, 225, 174, 300, 100, 10/17/2018, New
Jordan 1 Retro High OG Sail, 856, 160, 189, 338, 85, 06/20/2017, New
Jordan 4 Retro Pure Money 2017 (GS), 836, 140, 168, 350, 90, 05/13/2017, New
Jordan 1 Retro Yin Yang Black, 836, 160, 151, 282, 66, 08/06/2016, New
Jordan 4 Retro Sand 2017 (GS), 832, 140, 127, 245, 40, 06/10/2017, New
Jordan 1 Retro Metallic Red (2017), 825, 160, 166, 396, 76, 05/06/2017, New
Jordan 1 Mid True Berry Rush Pink (GS), 804, 90, 112, 180, 64, 02/01/2019, New
Jordan 1 Mid Reverse New Love, 779, 110, 124, 226, 60, 06/15/2018, New
Jordan 9 Retro Pearl Blue (GS), 764, 140, 138, 200, 80, 02/09/2019, New
Jordan 3 Retro Golf Black Green Glow, 697, 200, 249, 525, 170, 08/10/2018, New
Jordan 1 Retro High OG Sail (GS), 635, 120, 107, 177, 40, 08/01/2017, New
Jordan 3 Retro Hall of Fame (GS), 628, 140, 125, 200, 60, 05/12/2018, New
Jordan 7 Retro Pure Platinum, 593, 190, 135, 230, 70, 06/03/2017, New
Jordan 1 Retro Mid New Love (2017), 568, 110, 301, 589, 160, 06/01/2017, New
Jordan 1 Retro High Think 16 (Pass the Torch), 544, 145, 1076, 4300, 386, 04/28/2018, New
Jordan 1 Retro High Gatorade Rush Violet, 539, 175, 124, 425, 77, 12/26/2017, New
Jordan 11 Retro Concord 2018 (TD), 539, 70, 78, 157, 40, 12/08/2018, New
Jordan 2 Retro Melo (2018), 532, 190, 155, 300, 90, 06/09/2018, New
Jordan Defining Moments Pack Last Shot, 525, 500, 347, 497, 180, 06/14/2017, New
Jordan 14 Retro Desert Sand, 520, 190, 155, 270, 90, 05/15/2018, New
Jordan 8 Retro Take Flight, 518, 190, 183, 250, 123, 01/28/2017, New
Jordan 13 Retro What Is Love Pack, 491, , 204, 395, 136, 11/11/2016, New
Jordan 11 Retro Cool Grey (2010), 489, 175, 398, 1000, 295, 12/23/2010, New
Jordan 1 Retro Storm Blue, 479, 160, 274, 512, 143, 12/23/2016, New
Jordan 1 Mid Multi-Color Swoosh (GS), 457, 90, 143, 301, 86, 06/01/2018, New
Jordan 1 Mid Crimson Pulse (GS), 449, 90, 99, 194, 55, 07/01/2018, New
Jordan 8 Retro Cool Grey, 446, 190, 166, 335, 70, 08/26/2017, New
Jordan 1 Retro High OG Quai 54, 426, 160, 200, 450, 90, 07/08/2017, New
Jordan 1 Retro High Shadow 2018 (PS), 398, 70, 77, 155, 36, 04/14/2018, New
Jordan 5 Retro Oreo, 400, 170, 237, 350, 150, 11/29/2013, New
Jordan 11 Retro Cleat Concord, 392, 125, 106, 250, 50, 03/16/2018, New
Jordan 1 Mid Black White (2018), 391, 110, 107, 300, 40, 04/01/2018, New
Jordan 4 Retro 11Lab4 Red, 373, 250, 311, 796, 125, 07/11/2015, New
Jordan 13 Retro Alternate History of Flight (GS), 370, 140, 133, 260, 75, 07/22/2017, New
Jordan 1 Mid Reverse Bred, 362, 105, 148, 230, 105, 10/01/2018, New
Jordan 11 Retro Heiress Night Maroon (GS), 355, 220, 286, 452, 150, 12/17/2016, New
Jordan 7 Retro Low Taxi, 355, , 135, 229, 87, 09/27/2018, New
Jordan 1 Mid Royal Paint Splatter, 350, 110, 115, 200, 50, 03/22/2018, New
Jordan 12 Retro Chinese New Year 2019 (GS), 343, 170, 186, 249, 120, 02/05/2019, New
Jordan Spizike Black Varsity Red (2017), 359, 175, 87, 175, 54, 10/04/2017, New
Jordan 1 Retro High Zip AWOK Vogue University Red (W), 339, 220, 300, 596, 180, 07/21/2018, New
Jordan 11 Retro Space Jam (2009), 333, 175, 330, 460, 240, 12/23/2009, New
Jordan 10 Retro New York City (2016), 325, 190, 130, 250, 81, 04/27/2016, New
Jordan 1 Retro Hare Jordan (2015), 323, 125, 180, 300, 100, 04/04/2015, New
Jordan XXXIII Visible Utility, 309, 175, 171, 300, 100, 11/16/2018, New
Jordan XXXII Low Last Shot, 304, 160, 101, 228, 65, 06/09/2018, New
Jordan 12 Retro Doernbecher (2017), 293, 190, 270, 350, 200, 11/18/2017, New
Jordan Legacy 312 Black Gold Patent, 293, 150, 98, 250, 66, , New
Jordan 8 Retro Alternate, 287, 190, 194, 299, 106, 02/25/2017, New
Jordan 4 Retro Columbia 2015 (GS), 284, 140, 143, 209, 85, 01/10/2015, New
Jordan XXXII Russell Westbrook OKC, 279, 185, 101, 155, 70, 11/22/2017, New
Jordan 6 Retro Black Infrared 2019 (TD), 280, 60, 66, 99, 40, 02/16/2019, New
Jordan 6 Retro Low Infrared White, 277, 175, 196, 380, 93, 07/04/2015, New
Jordan 11 Retro Low Golf Safari Bred, 277, 200, 489, 1000, 355, 05/17/2019, New
Jordan 11 Retro Low University Blue (GS), 264, 130, 170, 250, 80, 04/15/2017, New
Jordan 12 Retro Gamma Blue, 259, 170, 315, 465, 140, 12/26/2013, New
Jordan 11 Retro Low Heiress Pure Platinum (GS), 258, 175, 155, 250, 85, 05/20/2017, New
Jordan 4 Retro Laser Black Gum (GS), 250, 150, 95, 175, 60, 01/12/2018, New
Jordan 11 Retro Cleat Black, 248, 125, 85, 175, 50, 03/16/2018, New
Jordan 5 Retro Bel-Air, 245, 185, 397, 600, 318, 10/05/2013, New
Jordan 6 Retro Slam Dunk, 244, 250, 400, 650, 270, 11/01/2014, New
Jordan XXXII Black Cement, 243, 185, 139, 258, 88, 01/06/2018, New
Jordan XXX1 Banned, 242, 185, 152, 255, 71, 09/03/2016, New
Jordan 7 Retro Doernbecher, 224, 190, 300, 550, 210, 12/17/2016, New
Jordan 4 Retro Tattoo 2018 (GS), 220, 160, 135, 250, 70, 12/29/2018, New
Jordan 1 Retro Dave White Wings for the Future, 213, 175, 389, 925, 200, 02/11/2012, New
Jordan 13 Retro 3M Reflective Silver, 210, 185, 192, 280, 125, 10/04/2014, New
Jordan 9 Retro Boot NRG Olive, 205, 225, 195, 380, 85, 12/06/2017, New
Jordan 5 Retro 3Lab5 Infrared, 204, 225, 179, 260, 111, 12/31/2013, New
Jordan 4 Retro Monsoon Blue (GS), 205, 150, 99, 155, 70, 04/06/2019, New
Jordan 1.5 Retro Reverse Fragment, 203, 150, 132, 250, 81, 10/17/2015, New
Jordan 6 Retro Black Infrared 2019 (PS), 204, 80, 83, 127, 40, 02/16/2019, New
Jordan XX9 Pantone, 196, 250, 113, 200, 76, 12/23/2014, New
Jordan 4 Retro Ginger Wheat, 194, 400, 320, 500, 150, 10/29/2016, New
Jordan 1 SB Lance Mountain Black, 193, 150, 359, 500, 275, 06/07/2014, New
Jordan 13 Retro Black White Gum (GS), 190, 140, 114, 225, 75, 02/24/2018, New
Jordan 13 Retro Bordeaux (GS), 186, 140, 137, 204, 53, 10/28/2017, New
Jordan 6 Retro Champagne, 180, 250, 250, 338, 140, 06/14/2014, New
Jordan 12 Retro Dynamic Pink (GS), 185, 140, 157, 274, 75, 03/05/2016, New
Jordan 2 Retro Wing It, 183, 190, 135, 250, 45, 03/05/2016, New
Jordan 1 Mid Black Dark Concord (GS), 175, 90, 81, 128, 51, 12/01/2018, New
Jordan 1 Retro Black Toe (2016) (GS), 175, 120, 459, 720, 300, 11/05/2016, New
Jordan 2 Retro Decon Thunder Blue, 173, 160, 60, 100, 39, 07/15/2017, New
Jordan 8 Retro South Beach (GS), 173, 140, 111, 180, 70, 10/13/2018, New
Jordan 17 Retro Low SoleFly Alternate Lightning, 168, 225, 325, 498, 210, 02/24/2018, New
Jordan 11 Retro Low White Red (2012), 173, 140, 237, 400, 170, 05/05/2012, New
Jordan 1 Retro High Flyknit Clay Green, 168, 180, 129, 219, 50, 05/05/2018, New
Jordan 7 Retro Bordeaux 2015 (GS), 165, 140, 171, 250, 98, 07/18/2015, New
Jordan 1 Retro Mid Derek Jeter RE2PECT, 163, 110, 118, 384, 52, 07/26/2017, New
Jordan 5 Retro Black Metallic (2011), 164, 150, 225, 335, 130, 08/20/2011, New
Jordan 5 Retro Wolf Grey, 161, 150, 278, 399, 200, 05/14/2011, New
