name,sales,retail_price,average_sale_price,highest_price,lowest_price,release_date,condition
Jordan 1 Retro High Gatorade Orange Peel, 1183, 175, 110, 225, 70, 12/26/2017, New
Jordan 1 Retro Shattered Backboard, 736, 160, 846, 1507, 486, 06/27/2015, New
Jordan 1 Retro High Gatorade Cyber, 642, 175, 141, 375, 85, 12/26/2017, New
Jordan 1 Retro High Nigel Sylvester, 4785, 180, 342, 600, 205, 09/01/2018, New
Jordan 6 Retro Gatorade Like Mike White, 1307, 190, 154, 270, 85, 12/16/2017, New
Jordan 4 Retro Kaws Black, 805, 350, 777, 1300, 590, 11/27/2017, New
Jordan 3 Retro Quai54 (2018), 1632, 180, 255, 400, 140, 07/07/2018, New
Jordan 4 Retro Levi's White (Levi's Tag), 900, 225, 429, 700, 290, 06/30/2018, New
Jordan 1 Mid Pine Green (GS), 4509, 100, 145, 260, 100, 12/18/2018, New
Jordan 1 Retro Low Slip Chicago (W), 3086, 100, 142, 320, 69, 03/01/2019, New
Jordan 1 Retro High Yellow Ochre, 1266, 160, 306, 799, 210, 05/09/2018, New
Jordan 12 Retro PSNY, 310, 300, 325, 449, 220, 12/17/2015, New
Jordan 1 Retro High Track Red, 828, 160, 291, 452, 182, 05/01/2018, New
Jordan 1 Retro Reverse Shattered Backboard, 555, 160, 513, 1000, 288, 10/08/2016, New
Jordan 1 Retro High Camo 3M Shadow, 402, 145, 161, 400, 86, 08/01/2017, New
Jordan 6 Retro Aleali May (W), 2304, 190, 305, 950, 205, 03/15/2019, New
Jordan 13 Retro Altitude (2017), 967, 190, 150, 250, 80, 12/21/2017, New
Jordan 10 Retro Drake OVO Black, 456, 225, 240, 406, 171, 02/13/2016, New
Jordan 10 Retro Drake OVO White, 421, 225, 307, 450, 219, 09/12/2015, New
Jordan 3 Retro White Cement ('88 Dunk Contest 2013), 325, 200, 430, 660, 310, 02/06/2013, New
Jordan 1 Retro Satin, 39, 175, 1939, 3450, 1200, 10/18/2016, New
Jordan 1 Retro High Gatorade Blue Lagoon, 932, 175, 140, 396, 75, 12/26/2017, New
Jordan 4 Retro Black Cement (2012), 840, 160, 305, 475, 152, 11/01/2012, New
Jordan 1 Retro High Gold Top 3, 439, 160, 462, 1000, 280, 11/04/2017, New
Jordan 3 Retro Black Cement (2011), 355, 160, 235, 320, 165, 11/25/2011, New
Jordan 12 Retro OVO White, 214, 225, 674, 1250, 450, 10/01/2016, New
Jordan 1 Retro Fragment, 158, 185, 2052, 3549, 1236, 12/27/2014, New
Jordan 8 Retro Doernbecher, 127, 190, 660, 895, 480, 11/23/2014, New
Jordan 4 Retro Cool Grey, 111, 100, 382, 538, 195, 09/25/2004, New
Jordan 4 Retro Doernbecher, 108, 175, 1115, 1930, 826, 11/08/2011, New
Jordan 13 Retro He Got Game 2018 (GS), 4814, 140, 177, 274, 111, 08/04/2018, New
Jordan 1 Retro High Homage To Home Chicago (Numbered), 300, 160, 506, 999, 250, 04/21/2018, New
Jordan 5 Retro Doernbecher, 87, 180, 817, 1100, 516, 09/14/2013, New
Jordan 3 Retro Doernbecher (2013), 54, 160, 576, 841, 377, 07/20/2013, New
Jordan 1 Retro Satin, 54, 175, 1181, 1660, 851, 04/01/2017, New
Jordan 1 Retro High Camo 3M Bred, 43, 145, 236, 500, 150, 09/01/2017, New
Jordan 11 Retro Concord DMP (2006), 38, 148, 536, 799, 399, 01/28/2006, New
Jordan 12 Retro OVO Black, 243, 225, 371, 595, 251, 02/18/2017, New
Jordan 2 Retro Just Don Beach, 160, 650, 486, 682, 360, 01/30/2016, New
Jordan 2 Retro Just Don Blue, 118, 350, 626, 800, 470, 01/31/2015, New
Jordan 1 Retro Shadow (2013), 92, 140, 245, 356, 150, 07/13/2013, New
Jordan 10 Retro Doernbecher, 86, 170, 254, 400, 120, 11/23/2013, New
Jordan 12 Retro PSNY Wheat, 65, 300, 427, 700, 266, 06/28/2017, New
Jordan 4 Retro White Laser, 51, 200, 372, 570, 270, 05/14/2005, New
Jordan 12 Retro PSNY Olive, 47, 300, 496, 700, 362, 06/28/2017, New
Jordan 12 Retro PSNY Bordeaux, 47, 300, 520, 1000, 340, 06/28/2017, New
Jordan 1 Retro Black Royal Blue (2001), 36, 100, 432, 600, 303, 10/06/2001, New
Jordan 13 Retro Premio Bin 23, 30, 175, 1142, 1565, 888, 08/21/2010, New
Jordan 4 Retro Black Laser, 21, 175, 703, 880, 550, 08/20/2005, New
Jordan 7 Retro Premio Bin 23, 20, 175, 760, 1000, 600, 11/26/2010, New
Jordan 1 Retro Black Metallic Gold (2013), 17, 140, 1441, 2350, 950, 04/13/2013, New
Jordan 2 Retro Doernbecher Peacock, 17, 140, 780, 1025, 584, 11/09/2007, New
Jordan 13 Retro Ray Allen PE, 13, 175, 1524, 2101, 1001, 07/23/2011, New
Jordan 7 Retro Miro, 11, 175, 1161, 1650, 900, 07/03/2008, New
Jordan 23 Finale, 10, 230, 976, 1200, 750, 12/23/2008, New
Jordan 2 Retro Eminem (The Way I Am), 9, 110, 3249, 4999, 2700, 12/18/2008, New
Jordan 23 Titanium, 7, 230, 754, 1200, 400, 01/25/2008, New
Jordan 1 Retro High OG Spike Lee Fort Greene, 7, 300, 3122, 4000, 1985, 06/16/2017, New
Jordan 13 OG Flint (1997), 6, 150, 374, 524, 300, 02/14/1998, New
Jordan 4 Retro Oregon Ducks, 6, , 4850, 10500, 2000, 01/01/2012, New
Jordan 3 Retro Oregon Ducks Pit Crew Black, 5, , 3874, 4300, 3275, 10/11/2011, New
Jordan 10 OG Sacramento Kings, 3, 125, 528, 800, 275, 06/01/1995, New
Jordan 4 Retro Eminem Carhartt, 3, , 8833, 10500, 7000, 11/23/2015, New
Jordan 1 OG Chicago (1985), 2, 65, 4000, 10500, 2250, 09/16/1985, New
Jordan 1 Retro High Black Gym Red, 12365, 160, 258, 450, 131, 06/29/2019, New
Jordan 1 Retro High Black Gym Red (GS), 4627, 120, 192, 338, 130, 06/29/2019, New
Jordan 5 Retro Michigan (2019), 351, 225, 331, 650, 270, 07/06/2019, New
Jordan 1 Retro High OG Defiant SB LA to Chicago, 9861, 175, 386, 1001, 230, 05/25/2019, New
Jordan 1 Retro High OG Defiant SB NYC to Paris, 8731, 175, 218, 780, 130, 05/25/2019, New
Air Jordan 1 Mid Yellow Toe Black, 1950, 120, 150, 227, 104, 06/19/2019, New
Jordan 14 Retro Ferrari University Gold, 1836, 200, 221, 500, 135, 06/22/2019, New
Jordan 4 Retro Raptors Drake OVO (2019), 6660, 200, 295, 450, 185, 06/02/2019, New
Jordan 1 Retro High Pine Green, 22564, 160, 258, 500, 130, 09/22/2018, New
Jordan 14 Retro Supreme White, 1460, 248, 307, 600, 255, 06/13/2019, New
Jordan 1 Retro High Black Crimson Tint (GS), 13487, 120, 181, 340, 107, 04/12/2019, New
Jordan Legacy 312 White Black Pink Foam (GS), 547, 110, 126, 200, 66, 02/01/2019, New
Jordan 1 Retro High Season of Her Mint Foam (W), 276, 160, 82, 176, 55, 01/25/2018, New
Jordan 1 Mid Quai54 (2019), 915, 115, 196, 313, 121, 06/08/2019, New
Jordan 11 Retro Low Snake Light Bone, 1366, 185, 168, 300, 100, 05/18/2019, New
Jordan Legacy 312 Olympic (GS), 102, 110, 66, 150, 50, 02/01/2019, New
Jordan 1 Retro High Bio Beige Anthracite Mystic Green (W), 554, 145, 162, 258, 114, 06/01/2019, New
Jordan 4 Retro Bred 2019 (GS), 2613, 140, 144, 203, 100, 05/04/2019, New
Jordan 5 Retro JSP Laney Varsity Royal, 1910, 200, 160, 324, 78, 02/02/2019, New
Jordan 1 Mid All Over Logos, 1085, 110, 120, 200, 70, 05/01/2019, New
Jordan 14 Retro Supreme Black, 570, , 293, 450, 215, 06/13/2019, New
Jordan 1 Retro High Phantom Gym Red (GS), 2865, 120, 155, 320, 107, 03/30/2019, New
Jordan 11 Retro Low Snake Light Bone (GS), 476, 135, 125, 209, 88, 05/18/2019, New
Jordan 4 Retro White Cement (2016), 2902, 220, 331, 510, 210, 02/13/2016, New
Jordan 13 Retro Cap and Gown, 2124, 200, 172, 450, 100, 04/27/2019, New
Jordan 1 Mid White Black Gym Red, 427, 110, 97, 150, 65, , New
Jordan 11 Retro Cap and Gown, 4647, 250, 310, 575, 226, 05/26/2018, New
Jordan 9 Retro Bred Patent, 2152, 190, 216, 355, 148, 03/10/2018, New
Jordan 1 Mid Crimson Tint, 1459, 120, 154, 399, 78, 04/01/2019, New
Jordan 7 Retro Ray Allen Bucks, 1127, 190, 162, 300, 100, 06/01/2019, New
Jordan 6 Retro Reflections of a Champion, 823, 225, 214, 390, 162, 06/08/2019, New
Jordan 11 Retro 72-10, 3128, 220, 277, 419, 206, 12/12/2015, New
Jordan 11 Retro Platinum Tint, 6884, 220, 197, 500, 135, 10/27/2018, New
Jordan 12 Retro Gym Red (2018), 5710, 190, 197, 450, 130, 11/24/2018, New
Jordan 1 Mid White Black, 3860, 110, 139, 309, 65, 11/01/2018, New
Jordan 1 Retro High SoleFly Art Basel Sail, 783, 160, 1392, 3500, 600, 12/08/2018, New
Jordan 1 Retro High Court Purple, 12777, 160, 328, 2000, 181, 09/22/2018, New
Jordan 11 Retro Low University Blue (2017), 1720, 175, 194, 375, 137, 04/15/2017, New
Jordan 1 Mid Coral Gold, 67, 120, 122, 200, 97, 07/01/2019, New
Jordan 3 Retro Mocha (2018), 3389, 190, 160, 339, 100, 12/15/2018, New
Jordan 5 Retro Paris Saint-Germain, 4327, 225, 251, 525, 131, 09/14/2018, New
Jordan 5 Retro Trophy Room Ice Blue, 3379, 200, 582, 2000, 351, 05/18/2019, New
Jordan 5 Retro Grape Fresh Prince, 3185, 190, 229, 600, 132, 09/25/2018, New
Jordan 3 Retro Chlorophyll, 2924, 190, 128, 260, 80, 11/10/2018, New
Jordan 4 Retro Tattoo (2018), 2430, 225, 206, 400, 110, 12/29/2018, New
Jordan 3 Retro Free Throw Line White Cement, 1196, 200, 347, 562, 251, 02/14/2018, New
Jordan 1 Mid Gunsmoke Volt, 48, 110, 107, 140, 80, 07/01/2019, New
Jordan 4 Retro Motorsports (2017), 1413, 190, 213, 359, 70, 03/26/2017, New
Jordan 9 Retro Pearl Blue, 3325, 190, 174, 350, 100, 02/09/2019, New
Jordan 5 Retro Satin Bred, 2995, 190, 165, 400, 90, 11/03/2018, New
Jordan 1 Retro High Aleali May Court Lux (W), 2751, 160, 205, 499, 123, 12/22/2018, New
Jordan 12 Retro Flu Game (2016), 2044, 190, 277, 455, 30, 05/28/2016, New
Jordan 11 Retro Low Pink Snakeskin (W) (2019), 1700, 185, 180, 330, 112, 05/07/2019, New
Jordan 4 Retro Flyknit Red, 410, 220, 183, 370, 127, 06/14/2019, New
Jordan 3 Retro Hall of Fame, 4015, 190, 209, 385, 150, 05/12/2018, New
Jordan 13 Retro Atmosphere Grey, 2380, 190, 161, 450, 106, 03/23/2019, New
Jordan 1 Retro High Bred Toe (GS), 2061, 120, 356, 550, 200, 02/24/2018, New
Jordan 4 Retro Royalty, 1291, 190, 252, 450, 150, 02/04/2017, New
Jordan 1 Retro High SP Gina (Special Box), 851, 180, 271, 600, 207, 05/25/2019, New
Jordan 1 Mid Gym Red Black, 4504, 110, 129, 350, 66, 06/01/2018, New
Jordan 4 Retro Laser Black Gum, 4195, 200, 157, 350, 101, 01/19/2018, New
Jordan 1 Mid Top 3, 2767, 110, 126, 286, 70, 01/01/2019, New
Jordan 13 Retro Low Clot Sepia Stone, 2715, 200, 356, 675, 228, 12/13/2018, New
Jordan 6 Retro Social Status, 2188, 250, 207, 946, 110, 02/21/2019, New
Jordan 6 Retro Flight Nostalgia, 1928, 190, 141, 220, 80, 01/12/2019, New
Jordan 6 Retro Flight Nostalgia, 1928, 190, 141, 220, 80, 01/12/2019, New
Jordan 1 Low Black Toe (GS), 656, 75, 84, 165, 49, 04/01/2019, New
Jordan 11 Retro Low Golf No Denim Allowed, 198, 200, 350, 639, 227, 06/14/2019, New
Jordan Hydro 6 Retro Black Infrared 23, 72, 52, 49, 100, 35, 02/01/2019, New
Jordan 1 Retro High Shadow 2018 (GS), 4450, 120, 182, 300, 80, 04/14/2018, New
Jordan 11 Retro Low Derek Jeter RE2PECT, 2391, 200, 184, 300, 141, 07/18/2018, New
Jordan 5 Retro Black Metallic (2016), 1850, 220, 249, 320, 140, 07/23/2016, New
Jordan 8 Retro South Beach, 1396, 190, 161, 256, 115, 10/13/2018, New
Jordan Legacy 312 Rookie of the Year, 921, 150, 99, 180, 56, 11/01/2018, New
Jordan 11 Retro Low Snake Navy 2019 (GS), 869, 135, 129, 190, 97, 04/19/2019, New
Jordan 14 Retro Ferrari University Gold (GS), 173, 150, 147, 245, 80, 06/22/2019, New
Jordan 3 Retro Black Cement 2018 (GS), 2101, 140, 114, 190, 70, 02/17/2018, New
Jordan 1 Retro Chicago (2015), 916, 160, 718, 1100, 398, 05/30/2015, New
Jordan 13 Retro Black Cat, 645, 190, 227, 309, 121, 01/21/2017, New
Jordan 6 Retro Alternate Hare, 587, 190, 205, 400, 100, 03/11/2017, New
Jordan 7 Retro Reflections of a Champion, 563, 225, 171, 350, 111, 06/08/2019, New
Jordan 7 Retro Topaz Mist (GS), 398, 140, 124, 184, 80, 05/18/2019, New
Jordan 1 Retro High Hyper Royal (GS), 295, 120, 67, 122, 39, 07/07/2018, New
Jordan 1 Low Lakers Top 3, 204, 90, 90, 111, 70, 06/20/2019, New
Jordan 13 Retro Carmelo Anthony Class Of 2002 (B-Grade), 5714, 190, 131, 230, 90, 09/15/2018, New
Jordan 1 Retro High Paris Saint Germain, 2374, 160, 163, 500, 99, 11/06/2018, New
Jordan 1 Mid Black Cone, 1780, 110, 109, 223, 44, 09/15/2018, New
Jordan 1 Retro High Guava Ice, 1707, 160, 105, 301, 60, 09/01/2018, New
